Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Pe Ppar E Pmin Pmax
   5400  0.00000E+00  0.00000E+000  3.51399E-019  4.75771E-015 -1.53493E-015 -3.37165E-015  9.28440E-005 -1.07852E-004  1.35420E-003  4.42599E-007  1.54908E-006  3.02931E-006  2.79481E-006  6.99791E-006  1.83143E-008  1.35277E+000
   5500  0.00000E+00  0.00000E+000  3.51310E-019  4.83170E-015 -1.56747E-015 -3.44379E-015  9.21752E-005 -1.08371E-004  1.36321E-003  4.39350E-007  1.54830E-006  3.02113E-006  2.78967E-006  7.00417E-006  1.83611E-008  1.35279E+000
   5600  0.00000E+00  0.00000E+000  3.51232E-019  4.88135E-015 -1.65414E-015 -3.46760E-015  9.28779E-005 -1.09793E-004  1.36811E-003  4.35960E-007  1.54672E-006  3.01302E-006  2.78425E-006  7.00678E-006  1.83888E-008  1.35279E+000
   5700  0.00000E+00  0.00000E+000  3.51138E-019  4.92618E-015 -1.71113E-015 -3.59792E-015  9.30058E-005 -1.10849E-004  1.37606E-003  4.33131E-007  1.54552E-006  3.00642E-006  2.77977E-006  7.01137E-006  1.83872E-008  1.35287E+000
   5800  0.00000E+00  0.00000E+000  3.51051E-019  4.99058E-015 -1.72116E-015 -3.67359E-015  9.20840E-005 -1.11370E-004  1.38576E-003  4.30321E-007  1.54469E-006  2.99932E-006  2.77533E-006  7.01799E-006  1.84345E-008  1.35293E+000
   5900  0.00000E+00  0.00000E+000  3.50983E-019  5.02688E-015 -1.77738E-015 -3.70864E-015  9.21484E-005 -1.12800E-004  1.39074E-003  4.27241E-007  1.54323E-006  2.99164E-006  2.77028E-006  7.02091E-006  1.84618E-008  1.35296E+000
   6000  0.00000E+00  0.00000E+000  3.50902E-019  5.03622E-015 -1.84401E-015 -3.80382E-015  9.22127E-005 -1.14239E-004  1.39675E-003  4.24520E-007  1.54173E-006  2.98523E-006  2.76599E-006  7.02420E-006  1.84888E-008  1.35299E+000
   6100  0.00000E+00  0.00000E+000  3.50818E-019  5.06789E-015 -1.86419E-015 -3.92015E-015  9.11846E-005 -1.15017E-004  1.40584E-003  4.21960E-007  1.54068E-006  2.97891E-006  2.76203E-006  7.02981E-006  1.85373E-008  1.35300E+000
   6200  0.00000E+00  0.00000E+000  3.50752E-019  5.08480E-015 -1.91128E-015 -3.96128E-015  9.05251E-005 -1.16372E-004  1.41125E-003  4.19145E-007  1.53931E-006  2.97180E-006  2.75750E-006  7.03305E-006  1.85736E-008  1.35299E+000
   6300  0.00000E+00  0.00000E+000  3.50682E-019  5.07433E-015 -1.99684E-015 -4.04487E-015  9.03035E-005 -1.17887E-004  1.41574E-003  4.16495E-007  1.53766E-006  2.96541E-006  2.75326E-006  7.03508E-006  1.86055E-008  1.35296E+000
