count,year,mo,dy,hr,mn,sc,Rho,V_tot,Temperature,B_tot
236.0,2018.0,9.0,5.0,18.0,0.0,0.0,3.2999999523,457.0,149984.0,4.3000001907
237.0,2018.0,9.0,5.0,19.0,0.0,0.0,3.5999999046,433.0,128653.0,3.5
238.0,2018.0,9.0,5.0,20.0,0.0,0.0,3.5999999046,433.0,109641.0,2.9000000954
239.0,2018.0,9.0,5.0,21.0,0.0,0.0,2.9000000954,441.0,69211.0,3.5999999046
240.0,2018.0,9.0,5.0,22.0,0.0,0.0,2.7999999523,443.0,84291.0,3.7999999523
241.0,2018.0,9.0,5.0,23.0,0.0,0.0,2.5,439.0,76834.0,3.7999999523
242.0,2018.0,9.0,6.0,0.0,0.0,0.0,2.2000000477,434.0,69155.0,3.2999999523
243.0,2018.0,9.0,6.0,1.0,0.0,0.0,1.8999999762,431.0,66656.0,3.9000000954
244.0,2018.0,9.0,6.0,2.0,0.0,0.0,2.4000000954,419.0,56080.0,3.7000000477
245.0,2018.0,9.0,6.0,3.0,0.0,0.0,2.9000000954,411.0,73227.0,3.0999999046
246.0,2018.0,9.0,6.0,4.0,0.0,0.0,2.9000000954,414.0,71812.0,3.0999999046
247.0,2018.0,9.0,6.0,5.0,0.0,0.0,3.5,414.0,65834.0,2.5
248.0,2018.0,9.0,6.0,6.0,0.0,0.0,4.0,406.0,56624.0,2.4000000954
249.0,2018.0,9.0,6.0,7.0,0.0,0.0,4.1999998093,400.0,54534.0,2.0
250.0,2018.0,9.0,6.0,8.0,0.0,0.0,4.1999998093,400.0,49958.0,2.0999999046
251.0,2018.0,9.0,6.0,9.0,0.0,0.0,4.4000000954,399.0,40216.0,2.5
252.0,2018.0,9.0,6.0,10.0,0.0,0.0,4.5999999046,393.0,42737.0,2.2000000477
253.0,2018.0,9.0,6.0,11.0,0.0,0.0,4.8000001907,391.0,47758.0,2.5
254.0,2018.0,9.0,6.0,12.0,0.0,0.0,5.0999999046,390.0,48072.0,2.4000000954
255.0,2018.0,9.0,6.0,13.0,0.0,0.0,5.3000001907,392.0,51890.0,2.2000000477
256.0,2018.0,9.0,6.0,14.0,0.0,0.0,5.5999999046,393.0,55618.0,2.5
257.0,2018.0,9.0,6.0,15.0,0.0,0.0,6.0999999046,392.0,53978.0,2.5999999046
258.0,2018.0,9.0,6.0,16.0,0.0,0.0,6.5,392.0,53651.0,2.9000000954
259.0,2018.0,9.0,6.0,17.0,0.0,0.0,6.3000001907,389.0,57375.0,2.9000000954
260.0,2018.0,9.0,6.0,18.0,0.0,0.0,6.4000000954,385.0,60935.0,3.2999999523
261.0,2018.0,9.0,6.0,19.0,0.0,0.0,6.4000000954,384.0,54357.0,4.0999999046
262.0,2018.0,9.0,6.0,20.0,0.0,0.0,7.4000000954,379.0,37189.0,4.5
263.0,2018.0,9.0,6.0,21.0,0.0,0.0,10.600000381,378.0,23371.0,3.0999999046
264.0,2018.0,9.0,6.0,22.0,0.0,0.0,14.699999809,391.0,32644.0,2.9000000954
265.0,2018.0,9.0,6.0,23.0,0.0,0.0,18.600000381,396.0,34288.0,2.7999999523
266.0,2018.0,9.0,7.0,0.0,0.0,0.0,24.399999619,401.0,41409.0,2.2000000477
267.0,2018.0,9.0,7.0,1.0,0.0,0.0,23.5,391.0,35068.0,3.2000000477
268.0,2018.0,9.0,7.0,2.0,0.0,0.0,19.700000763,382.0,35980.0,3.9000000954
269.0,2018.0,9.0,7.0,3.0,0.0,0.0,18.700000763,389.0,56930.0,5.8000001907
270.0,2018.0,9.0,7.0,4.0,0.0,0.0,18.600000381,419.0,93097.0,7.9000000954
271.0,2018.0,9.0,7.0,5.0,0.0,0.0,14.600000381,427.0,88274.0,10.0
272.0,2018.0,9.0,7.0,6.0,0.0,0.0,11.800000191,436.0,162509.0,10.5
