BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes
1.625294118,1.03529e18,937254.902,136544.1176,0.201764706,6.99754902,1.135784314,2.0,2.0,2.0,0
0.820588235,3.71765e18,752941.1765,176250.0,0.319411765,8.443627451,1.164215686,10.0,2.0,1.0,1
1.604117647,2.98824e18,498039.2157,50514.70588,0.112352941,6.18872549,1.181862745,6.0,2.0,2.0,1
1.561764706,2.11765e18,996078.4314,185514.7059,0.191176471,9.669117647,1.000490196,6.0,2.0,1.0,1
1.678235294,4.65882e18,898039.2157,275514.7059,0.178235294,6.703431373,1.056372549,3.0,2.0,2.0,1
1.307647059,8.94118e17,443137.2549,205367.6471,0.137058824,5.110294118,1.166176471,9.0,2.0,1.0,1
1.667647059,1.36471e18,745098.0392,31985.29412,0.142941176,9.203431373,1.126960784,8.0,2.0,2.0,1
1.71,3.05882e17,823529.4118,161691.1765,0.125294118,7.610294118,1.091666667,12.0,2.0,1.0,1
1.720588235,8.0e17,541176.4706,241102.9412,0.267647059,8.321078431,1.129901961,12.0,2.0,2.0,1
1.731176471,2.96471e18,301960.7843,194779.4118,0.312352941,5.330882353,1.137745098,6.0,2.0,1.0,1
1.741764706,2.58824e18,854901.9608,125955.8824,0.106470588,5.551470588,1.009313725,6.0,2.0,2.0,1
1.402941176,2.11765e17,333333.3333,132573.5294,0.158235294,6.776960784,1.058333333,4.0,2.0,1.0,1
1.466470588,1.78824e18,411764.7059,160367.6471,0.325294118,8.909313725,1.182843137,12.0,2.0,2.0,1
1.752352941,2.0e18,396078.4314,34632.35294,0.266470588,6.409313725,1.092647059,5.0,2.0,1.0,1
0.947647059,2.21176e18,1.066666667e6,260955.8824,0.255882353,6.580882353,1.122058824,12.0,2.0,2.0,1
1.837058824,2.30588e18,921568.6275,111397.0588,0.274705882,9.178921569,1.029901961,8.0,2.0,1.0,1
1.805294118,3.52941e18,474509.8039,168308.8235,0.287647059,6.825980392,1.192647059,3.0,2.0,2.0,1
1.815882353,9.41176e17,862745.098,234485.2941,0.144117647,6.335784314,1.079901961,1.0,2.0,1.0,1
1.826470588,4.8e18,611764.7059,145808.8235,0.222941176,7.463235294,1.018137255,9.0,2.0,2.0,1
1.784117647,3.34118e18,1.043137255e6,102132.3529,0.160588235,8.370098039,1.125,9.0,2.0,1.0,1
1.773529412,1.15294e18,670588.2353,84926.47059,0.19,7.855392157,1.195588235,6.0,2.0,2.0,1
1.858235294,4.87059e18,447058.8235,292720.5882,0.145294118,7.953431373,1.116176471,8.0,2.0,1.0,1
1.868823529,2.58824e17,486274.5098,218602.9412,0.177058824,8.468137255,1.037745098,1.0,2.0,2.0,1
1.286470588,4.96471e18,517647.0588,47867.64706,0.291176471,6.629901961,1.041666667,1.0,2.0,1.0,1
1.17,8.47059e17,678431.3725,192132.3529,0.285294118,7.193627451,1.060294118,6.0,2.0,2.0,1
1.900588235,1.90588e18,839215.6863,152426.4706,0.214705882,8.664215686,1.143627451,4.0,2.0,1.0,1
1.201764706,1.08235e18,803921.5686,271544.1176,0.224117647,9.105392157,1.033823529,12.0,2.0,2.0,1
0.757058824,1.88235e18,949019.6078,268897.0588,0.155882353,7.757352941,1.100490196,8.0,2.0,1.0,1
0.661764706,4.47059e18,403921.5686,217279.4118,0.308823529,7.732843137,1.154411765,4.0,2.0,2.0,1
1.911176471,3.67059e18,596078.4314,256985.2941,0.204117647,5.919117647,1.072058824,6.0,2.0,1.0,1
1.381764706,2.18824e18,792156.8627,287426.4706,0.339411765,7.365196078,1.086764706,6.0,2.0,2.0,1
1.964117647,8.23529e17,980392.1569,98161.76471,0.226470588,8.051470588,1.064215686,3.0,2.0,1.0,0
1.942941176,4.18824e18,917647.0588,233161.7647,0.21,9.718137255,1.105392157,10.0,2.0,2.0,1
1.985294118,1.55294e18,529411.7647,74338.23529,0.202941176,9.93872549,1.020098039,6.0,2.0,1.0,0
1.995882353,3.50588e18,392156.8627,94191.17647,0.122941176,9.301470588,1.085784314,10.0,2.0,2.0,1
2.006470588,2.09412e18,1.007843137e6,170955.8824,0.102941176,5.845588235,1.119117647,10.0,2.0,1.0,1
2.017058824,3.88235e18,882352.9412,46544.11765,0.151176471,7.928921569,1.039705882,7.0,2.0,2.0,1
2.027647059,4.51765e18,729411.7647,254338.2353,0.244117647,9.129901961,1.173039216,3.0,2.0,1.0,1
0.862941176,3.29412e18,658823.5294,104779.4118,0.277058824,7.536764706,1.132843137,1.0,2.0,2.0,1
2.048823529,6.58824e17,760784.3137,71691.17647,0.121764706,6.924019608,1.174019608,7.0,2.0,1.0,0
1.392352941,4.30588e18,690196.0784,37279.41176,0.198235294,5.159313725,1.151470588,5.0,2.0,2.0,1
2.07,4.77647e18,972549.0196,214632.3529,0.135882353,6.139705882,1.013235294,4.0,2.0,1.0,1
1.085294118,2.63529e18,372549.0196,253014.7059,0.132352941,6.384803922,1.142647059,7.0,2.0,2.0,1
2.059411765,2.32941e18,568627.451,182867.6471,0.25,6.556372549,1.055392157,3.0,2.0,1.0,1
1.953529412,1.24706e18,584313.7255,42573.52941,0.320588235,7.267156863,1.098529412,12.0,2.0,2.0,0
1.974705882,3.78824e18,686274.5098,120661.7647,0.314705882,5.50245098,1.035784314,3.0,2.0,1.0,1
2.122941176,4.94118e18,576470.5882,110073.5294,0.174705882,8.933823529,1.149509804,4.0,2.0,2.0,1
2.154705882,3.15294e18,329411.7647,137867.6471,0.246470588,8.075980392,1.185784314,12.0,2.0,1.0,1
2.144117647,4.44706e18,1.070588235e6,129926.4706,0.11,6.875,1.074019608,12.0,2.0,2.0,1
2.133529412,1.45882e18,435294.1176,210661.7647,0.23,7.340686275,1.031862745,10.0,2.0,1.0,1
2.165294118,1.76471e18,635294.1176,284779.4118,0.119411765,5.625,1.153431373,8.0,2.0,2.0,1
1.318235294,3.85882e18,360784.3137,267573.5294,0.326470588,9.25245098,1.073039216,2.0,2.0,1.0,1
2.186470588,1.95294e18,607843.1373,202720.5882,0.265294118,9.987745098,1.179901961,4.0,2.0,2.0,1
2.197058824,3.76471e18,537254.902,96838.23529,0.221764706,6.727941176,1.13872549,10.0,2.0,1.0,1
2.207647059,2.89412e18,317647.0588,222573.5294,0.166470588,9.49754902,1.099509804,6.0,2.0,2.0,1
2.260588235,3.95294e18,933333.3333,149779.4118,0.305294118,7.683823529,1.198529412,6.0,2.0,1.0,1
2.228823529,7.52941e17,909803.9216,57132.35294,0.328823529,8.786764706,1.112254902,4.0,2.0,2.0,0
2.398235294,1.43529e18,698039.2157,141838.2353,0.334705882,6.237745098,1.141666667,9.0,2.0,1.0,1
2.25,4.54118e18,368627.451,75661.76471,0.259411765,8.541666667,1.121078431,9.0,2.0,2.0,1
2.218235294,1.81176e18,1.02745098e6,279485.2941,0.311176471,8.419117647,1.003431373,7.0,2.0,1.0,1
0.852352941,2.04706e18,741176.4706,82279.41176,0.175882353,6.458333333,1.014215686,10.0,2.0,2.0,1
2.281764706,4.35294e18,874509.8039,174926.4706,0.213529412,5.649509804,1.026960784,6.0,2.0,1.0,1
2.292352941,3.69412e18,1.0e6,69044.11765,0.27,5.281862745,1.175,12.0,2.0,2.0,1
