,BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl
161,2.398235294,1.435290E+18,698039.2157,141838.2353,0.334705882,6.237745098,1.141666667,0.818181818,2,1
162,2.25,4.541180E+18,368627.451,75661.76471,0.259411765,8.541666667,1.121078431,0.818181818,2,2
163,2.218235294,1.811760E+18,1027450.98,279485.2941,0.311176471,8.419117647,1.003431373,0.636363636,2,1
164,0.852352941,2.047060E+18,741176.4706,82279.41176,0.175882353,6.458333333,1.014215686,0.909090909,2,2
165,2.281764706,4.352940E+18,874509.8039,174926.4706,0.213529412,5.649509804,1.026960784,0.545454545,2,1
166,2.292352941,3.694120E+18,1.00E+06,69044.11765,0.27,5.281862745,1.175,1,2,2
167,2.302941176,1.105880E+18,843137.2549,242426.4706,0.318235294,9.840686275,1.184803922,0.727272727,2,1
168,2.408823529,5.411760E+17,352941.1765,238455.8824,0.247647059,5.232843137,1.090686275,0.636363636,2,2
169,2.419411765,2.235290E+18,521568.6275,123308.8235,0.133529412,8.223039216,1.157352941,0.545454545,2,1
170,2.334705882,4.047060E+18,901960.7843,107426.4706,0.118235294,6.041666667,1.130882353,0.363636364,2,2
171,2.366470588,3.082350E+18,772549.0196,290073.5294,0.302941176,6.017156863,1.021078431,0.909090909,2,1
172,2.355882353,4.376470E+18,592156.8627,184191.1765,0.292352941,9.620098039,1.084803922,0,2,2
173,2.345294118,1.623530E+18,309803.9216,58455.88235,0.179411765,7.414215686,1.076960784,0.090909091,2,1
174,2.377058824,3.011760E+18,1031372.549,73014.70588,0.188823529,9.375,1.134803922,0,2,2
175,2.451176471,6.117650E+17,376470.5882,200073.5294,0.111176471,9.056372549,1.051470588,0.363636364,2,1
176,2.239411765,4.423530E+18,556862.7451,272867.6471,0.332352941,5.355392157,1.043627451,1,2,2
177,1.688823529,2.823530E+17,470588.2353,62426.47059,0.237058824,5.796568627,1.156372549,0.090909091,2,1
178,2.324117647,2.517650E+18,819607.8431,298014.7059,0.181764706,7.977941176,1.167156863,0.363636364,2,2
179,2.43,4.729410E+18,619607.8431,246397.0588,0.153529412,6.482843137,1.191666667,0.909090909,2,1
180,2.440588235,4.894120E+18,1023529.412,157720.5882,0.264117647,7.046568627,1.108333333,0.181818182,2,2
181,2.387647059,3.552940E+18,466666.6667,230514.7059,0.240588235,8.860294118,1.010294118,0.454545455,2,1
182,2.461764706,1.176470E+18,850980.3922,90220.58824,0.254705882,5.943627451,1.04754902,0.090909091,2,2
183,2.482941176,3.905880E+18,796078.4314,124632.3529,0.199411765,9.031862745,1.096568627,0.090909091,2,1
184,1.35,4.235290E+17,1011764.706,55808.82353,0.206470588,7.708333333,1.006372549,0.909090909,2,2
185,2.493529412,4.635290E+18,952941.1765,83602.94118,0.238235294,9.865196078,1.054411765,0.636363636,2,1
186,2.504117647,1.341180E+18,992156.8627,188161.7647,0.17,7.242647059,1.178921569,0.727272727,2,2
187,2.514705882,2.776470E+18,647058.8235,165661.7647,0.268823529,8.713235294,1.040686275,0,2,1
188,2.525294118,2.282350E+18,345098.0392,51838.23529,0.307647059,9.644607843,1.139705882,0.363636364,2,2
189,2.535882353,7.294120E+17,588235.2941,264926.4706,0.187647059,8.125,1.016176471,0.636363636,2,1
190,2.546470588,4.117650E+18,1086274.51,208014.7059,0.279411765,7.487745098,1.049509804,0.727272727,2,2
191,2.557058824,3.317650E+18,552941.1765,215955.8824,0.147647059,5.575980392,1.128921569,0.090909091,2,1
192,2.567647059,1.388240E+18,415686.2745,278161.7647,0.159411765,8.590686275,1.080882353,0.272727273,2,2
193,2.578235294,1.929410E+18,1062745.098,87573.52941,0.317058824,7.781862745,1.14754902,1,2,1
194,0.640588235,6.352940E+17,784313.7255,258308.8235,0.293529412,6.164215686,1.175980392,0,2,2
195,2.599411765,2.352940E+18,968627.451,247720.5882,0.233529412,8.517156863,1.117156863,0.363636364,2,1
196,2.61,2.705880E+18,490196.0784,66397.05882,0.337058824,8.174019608,1.081862745,0.818181818,2,2
197,2.620588235,9.647060E+17,654901.9608,119338.2353,0.164117647,7.512254902,1.053431373,0.909090909,2,1
198,2.631176471,2.917650E+18,945098.0392,118014.7059,0.219411765,5.821078431,1.193627451,0.636363636,2,2
199,2.641764706,9.176470E+17,1082352.941,225220.5882,0.248823529,9.473039216,1.16127451,0,2,1
200,2.652352941,3.223530E+18,356862.7451,41250,0.127647059,7.634803922,1.019117647,0.272727273,2,2
201,1.053529412,4.235290E+18,431372.549,163014.7059,0.186470588,6.286764706,1.062254902,1,2,1
202,2.673529412,3.411760E+18,682352.9412,143161.7647,0.208823529,9.889705882,1.168137255,0,2,2
203,2.684117647,1.270590E+18,1098039.216,283455.8824,0.298235294,5.379901961,1.11127451,0.454545455,2,1
204,2.694705882,2.752940E+18,890196.0784,198750,0.131176471,6.973039216,1.070098039,0.454545455,2,2
