qoi,mapCR,model,t,value
Ur,GONG2208,AWSoM,617,336.0
Ur,GONG2208,AWSoM,618,332.0
Ur,GONG2208,AWSoM,619,327.0
Ur,GONG2208,AWSoM,620,325.0
Ur,GONG2208,AWSoM,621,323.0
Ur,GONG2208,AWSoM,622,327.0
Ur,GONG2208,AWSoM,623,322.0
Ur,GONG2208,AWSoM,624,324.0
Ur,GONG2208,AWSoM,625,332.0
Ur,GONG2208,AWSoM,626,338.0
Ur,GONG2208,AWSoM,627,339.0
Ur,GONG2208,AWSoM,628,334.0
Ur,GONG2208,AWSoM,629,331.0
Ur,GONG2208,AWSoM,630,336.0
Ur,GONG2208,AWSoM,631,335.0
Ur,GONG2208,AWSoM,632,335.0
Ur,GONG2208,AWSoM,633,339.0
