Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Np,shift,Tmin,Tmax
208,3.293095166,0.857737686,416411.0595,95668.03706,0.15154733,2.596957e18,1.174016915,0.272727273,1,1,5.6653281888927,-15,0.2,0.8
209,1.94351705,0.792297607,591137.4101,220659.8221,0.309525734,1.001413e18,1.120997689,0.454545455,1,2,8.156166329017328,-15,0.2,0.8
210,4.336410193,0.577605836,908959.9147,282627.1978,0.334200812,2.902155e18,1.159880857,0.727272727,1,1,10.05983497406058,-20,0.2,0.8
211,1.553071584,1.162257416,318579.2537,31652.5595,0.251576013,3.438905e18,1.192831113,0.0,1,2,6.175385651033004,13,0.2,0.8
212,5.643938906,0.739034401,372328.8374,262368.7037,0.244393479,1.864013e18,1.148469814,0.545454545,1,1,6.492514480455406,-43,0.2,0.8
213,4.030301494,1.41651502,359978.7038,161488.0244,0.300556678,2.265796e17,1.172473236,0.909090909,1,2,12.490995294623582,-3,0.2,0.8
214,7.074961797,0.552838082,679879.9913,76333.03462,0.107278936,3.200287e18,1.158956872,0.0,1,1,6.586783778374598,22,0.2,0.8
215,8.147402012,1.027628779,305936.9113,200247.5046,0.323381454,4.801397e18,1.090147576,0.636363636,1,2,5.52247198126579,-6,0.2,0.8
216,2.905501723,0.695290453,838953.7079,55547.22891,0.193833401,2.161853e18,1.08280144,0.818181818,1,1,10.35986402172186,0,0.2,0.8
217,0.806187701,0.640911237,460975.0498,101165.7676,0.162551906,4.137594e18,1.142515356,0.727272727,1,2,6.298776501789032,-7,0.2,0.8
218,4.421352688,0.976483056,537238.1989,243032.5824,0.260537531,2.739072e18,1.192710533,0.363636364,1,1,11.571895669300988,-9,0.2,0.8
219,6.371653706,1.264459218,404153.3414,197403.5742,0.213509021,9.127766e17,1.147924493,0.818181818,1,2,10.825187350927035,-4,0.2,0.8
220,9.71691451,0.603387296,446281.0194,62457.12146,0.296744544,3.989785e18,1.087110246,0.0,1,1,6.505624627251371,-6,0.2,0.8
221,3.495762281,0.657697968,614886.5221,154790.2306,0.239361885,3.652166e18,1.171680191,0.545454545,1,2,6.82431030543415,-23,0.2,0.8
222,5.441789641,1.447709242,345278.2033,64888.70856,0.166129924,6.772918e17,1.093950589,0.181818182,1,1,11.660949397526265,48,0.2,0.8
