Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
56,6.700052693,0.792038661,388350.5721,189653.256,0.268317757,3.909274e18,1.147306297,0.181818182,1,1,65.03429433721644,5.347845572423744,4.831505294787087,44001.294587203614,-1,0.2,0.8
57,4.363523689,0.94400175,444151.5323,153716.7206,0.129498867,4.451184e18,1.171346817,0.454545455,1,2,57.58475143000711,5.366678686799061,4.186215131172731,41105.22844008842,4,0.2,0.8
58,7.403303438,1.160360107,514432.7637,65896.30173,0.292516591,1.471768e18,1.186208871,0.181818182,1,1,91.1912476718786,24.378285272761474,3.4076900512063397,46242.29715074677,-16,0.2,0.8
59,9.581207421,0.576290217,711543.6925,245282.9896,0.239833658,2.589705e18,1.059513046,0.636363636,1,2,105.35387314819478,6.564446035986168,4.777999386283038,45985.284749085906,-25,0.2,0.8
60,0.399228109,0.739837369,569646.9497,299769.2922,0.331513257,3.646581e18,1.135663169,0.090909091,1,1,94.59015762577083,6.004916443388483,4.848114790597601,47288.760216132774,-14,0.2,0.8
61,1.849674925,0.554647572,477778.0103,38931.15221,0.200503458,1.689302e18,1.182385449,0.363636364,1,2,87.58220600846664,5.951121274494323,4.856493008958919,50310.92062044546,-5,0.2,0.8
62,2.923383708,1.028943949,501685.2261,168108.7544,0.222525039,6.879707e17,1.151247944,0.090909091,1,1,66.7488532753261,12.072762711652924,3.7971442874271655,43911.67465296335,-1,0.2,0.8
63,5.972316328,1.346488173,431893.8019,255402.9641,0.17558394,3.714408e18,1.195361691,0.454545455,1,2,75.70076498903656,8.693436176927678,3.9303101119731374,41276.52659077608,2,0.2,0.8
64,3.626338711,1.465350089,376000.45,88690.06658,0.336607573,3.125458e18,1.074072598,0.727272727,1,1,61.357055822383195,12.170678555783383,3.72842299006164,46739.90060094509,-8,0.2,0.8
65,5.582133038,0.639547411,659170.7567,132173.5946,0.14341547,1.351902e18,1.135620995,0.363636364,1,2,81.67745370909468,5.32934955351103,4.4628623001528895,38402.49698817122,-11,0.2,0.8
66,9.196124824,0.97462491,332896.1575,277214.7699,0.287305746,2.150352e18,1.168894063,0.818181818,1,1,53.526857573442186,5.108038554361649,4.485353834973361,42497.12610962009,12,0.2,0.8
67,3.848378037,0.605220798,648864.7752,94730.53843,0.277348262,9.020414e17,1.197819189,1.0,1,2,77.23899633367033,6.064124983782714,4.560757360086426,45803.89931604277,-9,0.2,0.8
68,6.902805008,1.365729909,315987.4372,141905.7985,0.204081089,2.676774e18,1.16380862,0.181818182,1,1,45.79203171420179,7.157743179246033,4.013477428954158,41343.64028513117,6,0.2,0.8
69,0.274669286,1.079615827,374348.367,223908.1111,0.179388179,2.301956e18,1.182916171,0.363636364,1,2,41.01275034282709,5.308572965089963,4.261341637395531,40261.39918265242,9,0.2,0.8
70,7.625987702,0.656374632,417771.4914,120473.3771,0.332795082,1.839716e18,1.17606718,0.0,1,1,74.33383740943793,5.783525841055051,5.085495971396639,46436.95400270387,-8,0.2,0.8
71,4.551930283,1.247826845,473351.7483,173473.7608,0.283734482,3.264533e18,1.13697291,0.363636364,1,2,45.303779758352086,12.027091237030335,3.7650802142431976,41851.08232713155,8,0.2,0.8
72,6.511995883,0.99155104,593045.5163,265514.5189,0.116718307,2.392637e17,1.144752296,0.181818182,1,1,54.9227679241231,16.98157229054272,3.8634484810789265,39671.52741240542,6,0.2,0.8
73,0.982178142,0.609464795,796849.6766,183593.6769,0.105871712,2.13924e18,1.164119861,1.0,1,2,96.17960895799732,8.144425650334782,4.421728482827542,38355.93342390118,-10,0.2,0.8
